# Shown are DESeq2 fold-change values (vs rde-4) for all STGs in whole worm samples.  ""NaN"" stands for: not significatnly different compared to rde-4(-) sample (padjusted >0.1).
genes,P0 generation (Psng-1::rde-4 worms),"rde-4(-), F1 of Psng-1::rde-4 worms","rde-4(-), F3 of Psng-1::rde-4 worms",Input,Suggested Match,History
nekl-1,2.00784033212774,1.24722877216057,0.795230061558799,nekl-1,WBGene00021461,Public name for WBGene00021461. History: N.A.
ZC190.7,2.02142606557804,1.53875057276616,1.40098642359222,ZC190.7,WBGene00022541,Public name for WBGene00022541. History: N.A.
haf-9,2.06267187979783,1.87091289849006,2.0699123495773306,haf-9,WBGene00001819,Public name for WBGene00001819. History: N.A.
T05C3.6,2.10411143055714,2.08096842727796,1.51934095169985,T05C3.6,WBGene00020256,Public name for WBGene00020256. History: N.A.
F39E9.10,2.10535785936295,,,F39E9.10,WBGene00023036,Public name for WBGene00023036. History: N.A.
F29D10.3,2.11315785937004,1.9133599014832097,,F29D10.3,WBGene00009252,Public name for WBGene00009252. History: N.A.
W04C9.5,2.13256191464151,1.88009902216077,1.67305064330016,W04C9.5,WBGene00021027,Public name for WBGene00021027. History: N.A.
F43E2.6,2.16487863689873,,,F43E2.6,WBGene00018394,Public name for WBGene00018394. History: N.A.
vit-6,2.22968318300204,,1.03294056505806,vit-6,WBGene00006930,Public name for WBGene00006930. History: N.A.
K11H3.2,2.35905454681004,2.25695794618183,1.47275752431865,K11H3.2,WBGene00010779,Public name for WBGene00010779. History: N.A.
dos-2,2.43683777853848,1.32424402668075,,dos-2,WBGene00019640,Public name for WBGene00019640. History: N.A.
R102.4,2.50306681975642,2.3446152523076,,R102.4,WBGene00011291,Public name for WBGene00011291. History: N.A.
C55C3.6,2.52305067299981,1.97037423046733,1.15399485072157,C55C3.6,WBGene00016956,Public name for WBGene00016956. History: N.A.
F39E9.7,2.5284665148886,,,F39E9.7,WBGene00018199,Public name for WBGene00018199. History: N.A.
W04B5.1,2.55821873634841,,,W04B5.1,WBGene00021018,Public name for WBGene00021018. History: N.A.
C17D12.5,2.57585965057436,1.09289996947036,,C17D12.5,WBGene00007639,Public name for WBGene00007639. History: N.A.
Y59H11AR.6,2.58520675130405,,,Y59H11AR.6,WBGene00077437,Public name for WBGene00077437. History: N.A.
Y38H8A.5,2.60155513830243,2.52871226505033,2.02851577350956,Y38H8A.5,WBGene00012639,Sequence name for WBGene00012639(fezf-1). History: N.A.
klf-1,2.61575617535005,2.44664178484244,2.49435755666882,klf-1,WBGene00018990,Public name for WBGene00018990. History: N.A.
C08E8.7,2.65636871462705,1.53444682328865,,C08E8.7,WBGene00045487,Public name for WBGene00045487. History: N.A.
Y46D2A.1,2.69173396968275,,,Y46D2A.1,WBGene00021589,Public name for WBGene00021589. History: N.A.
aex-5,2.87878128388156,,,aex-5,WBGene00000088,Public name for WBGene00000088. History: N.A.
C03D6.1,2.93337152119932,2.63766704167789,2.67653555258712,C03D6.1,WBGene00007275,Public name for WBGene00007275. History: N.A.
C18H2.4,2.9591360018353,2.8897947241733495,2.54692394193941,C18H2.4,WBGene00015991,Public name for WBGene00015991. History: N.A.
T20G5.4,3.09499095709211,2.24558002972599,1.00441166553407,T20G5.4,WBGene00011868,Sequence name for WBGene00011868(best-18). History: N.A.
F19G12.4,3.1486236442082,,,F19G12.4,WBGene00017612,Public name for WBGene00017612. History: N.A.
R05G6.5,3.36990376081508,2.98985701509728,2.20529089353918,R05G6.5,WBGene00019899,Public name for WBGene00019899. History: N.A.
Y36E3A.2,3.38968618493798,,,Y36E3A.2,WBGene00194708,Public name for WBGene00194708. History: N.A.
str-238,3.41313466353281,,,str-238,WBGene00006266,Public name for WBGene00006266. History: N.A.
ugt-22,4.20476351978793,3.93175560638586,3.5588872393717694,ugt-22,WBGene00007455,Public name for WBGene00007455. History: N.A.
K02E2.6,4.4172175154365,,,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
Y37E11B.2,4.58541611248427,,,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
gpd-2,4.627330098095,,,gpd-2,WBGene00001684,Public name for WBGene00001684. History: N.A.
K06B9.6,4.66888601695229,,,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
C44B11.6,4.67077958020638,,,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
K02D10.4,4.86163146197086,4.55377648012083,3.73865275414783,K02D10.4,WBGene00019304,Public name for WBGene00019304. History: N.A.
rde-4,4.86799934801451,1.21734869555236,,rde-4,WBGene00004326,Public name for WBGene00004326. History: N.A.
W04B5.2,4.89077861721427,,,W04B5.2,WBGene00021019,"Public name for WBGene00021019. History: Split into W04B5.8(WBGene00306003). History of WBGene00021019: Split into ""WBGene00306003"" on 2020-01-20"
Y17D7B.7,4.937456351063,,,Y17D7B.7,WBGene00014562,Public name for WBGene00014562. History: N.A.
C55C3.7,5.22027860914273,4.82605523068,4.33521488715884,C55C3.7,WBGene00043065,Public name for WBGene00043065. History: N.A.
ZC239.1,5.3486564488219,,,ZC239.1,WBGene00023399,Public name for WBGene00023399. History: N.A.
F56D6.17,5.71586183113172,,,F56D6.17,WBGene00219307,Public name for WBGene00219307. History: N.A.
C36A4.11,6.12881677151367,,,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
Y17D7B.4,6.67344424474402,,,Y17D7B.4,WBGene00012452,Public name for WBGene00012452. History: N.A.
F56D6.16,7.42412480950416,,,F56D6.16,WBGene00219304,Public name for WBGene00219304. History: N.A.
Y47H10A.5,7.92342645314365,,,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
