# Supplemental Table 2- The 'adr-1 adr-2 gene expression' tab lists genes with altered mRNA levels in adr-1(-/-);adr-2(-/-) worms compared to WT. All listed genes were statistically significant at p ≤ 0.05. There were 1,746 mRNAs increased and 1,571 mRNAs decreased ≥1.2-fold. The 'mRNAs targeted by miRNAs' tab includes information on mRNAs that are predicted targets of miRNAs. The 'Dicer Helicase dependent Loci' tab summarizes our re-analysis of data previously reported in (Welker et al. 2010), and includes all loci with a significantly different number of reads (p-value ≤0.05), as determined by Defined Region Scan Sequences (Nix et al. 2008). Only loci with ≥1.2-fold changes in the mutant strain compared to WT are reported.
Gene Locus,Chromosome,Strand,Gene chr start position,Gene chr stop position,Normalized number of WT reads,Normalized number of Dcr-1(-/-)K39A reads,Fold Change (mutant vs WT),pVal,Strand(s) affected,Input,Suggested Match,History
R13H4.5,chrV,+,11860651,11862256,0,22,23.0,0.00097,Antisense,R13H4.5,WBGene00011263,Public name for WBGene00011263. History: N.A.
R144.4,chrIII,+,5018610,5021093,62,24,-2.51,0.00031,Antisense,R144.4,WBGene00020094,Sequence name for WBGene00020094(wip-1). History: N.A.
R144.7,chrIII,-,5008900,5017613,30,9,-3.06,0.01,Antisense,R144.7,WBGene00020097,Sequence name for WBGene00020097(larp-1). History: N.A.
R144.9,chrIII,+,5021188,5021859,20,6,-2.96,0.017,Antisense,R144.9,WBGene00007015,Sequence name for WBGene00007015(mdt-11). History: N.A.
R148.3,chrIII,+,3175327,3183596,42,16,-2.52,0.0024,Antisense,R148.3,WBGene00020102,Public name for WBGene00020102. History: N.A.
R31.2,chrV,+,11917540,11924629,84,48,-1.73,0.0033,Antisense,R31.2,WBGene00011270,Public name for WBGene00011270. History: N.A.
R74.3,chrIII,+,4193793,4195329,27,14,-1.87,0.051,Antisense,R74.3,WBGene00006959,Sequence name for WBGene00006959(xbp-1). History: N.A.
R74.8,chrIII,+,4206249,4208238,25,12,-1.97,0.049,Antisense,R74.8,WBGene00011282,Public name for WBGene00011282. History: N.A.
T01B11.3,chrIV,+,8457270,8458854,15,1,-7.9,0.0021,Antisense,T01B11.3,WBGene00006374,Sequence name for WBGene00006374(syx-4). History: Renamed on 2010-04-16
T01C3.9,chrV,+,15005087,15006374,22,5,-3.86,0.0039,Antisense,T01C3.9,WBGene00011324,Sequence name for WBGene00011324(hrde-2). History: Renamed on 2019-05-20
T01H3.4,chrII,+,7880751,7882454,30,13,-2.18,0.02,Antisense,T01H3.4,WBGene00011350,Sequence name for WBGene00011350(perm-1). History: N.A.
T02C12.3,chrIII,+,4022138,4025595,12,2,-4.44,0.018,Antisense,T02C12.3,WBGene00011368,Sequence name for WBGene00011368(tftc-5). History: N.A.
T02E1.3,chrI,+,8214402,8217978,22,9,-2.32,0.032,Antisense,T02E1.3,WBGene00011376,Sequence name for WBGene00011376(gla-3). History: N.A.
T03F6.1,chrIII,+,13393782,13394841,71,41,-1.73,0.0065,Antisense,T03F6.1,WBGene00011398,Sequence name for WBGene00011398(qdpr-1). History: N.A.
T03F6.2,chrIII,-,13390802,13393761,10,0,-10.86,0.0086,Antisense,T03F6.2,WBGene00001035,Sequence name for WBGene00001035(dnj-17). History: N.A.
T04A8.16,chrIII,-,4700298,4704018,42,21,-1.95,0.045,Antisense,T04A8.16,WBGene00000543,Sequence name for WBGene00000543(clp-2). History: N.A.
T05A10.1,chrX,+,10773017,10782313,12,1,-6.66,0.0067,Antisense,T05A10.1,WBGene00004862,Sequence name for WBGene00004862(sma-9). History: N.A.
T05A6.2,chrII,+,7816439,7818193,27,10,-2.56,0.012,Antisense,T05A6.2,WBGene00000517,Sequence name for WBGene00000517(cki-2). History: N.A.
T05A7.4,chrII,+,4673073,4673589,291,117,-2.47,4.1e-14,Antisense,T05A7.4,WBGene00001976,Sequence name for WBGene00001976(hmg-11). History: N.A.
T05C3.6,chrV,+,5490380,5493630,7,0,-8.4,0.02,Antisense,T05C3.6,WBGene00020256,Public name for WBGene00020256. History: N.A.
T05G5.7,chrIII,+,9758806,9760289,39,14,-2.7,0.002,Antisense,T05G5.7,WBGene00011501,Sequence name for WBGene00011501(rmd-1). History: N.A.
T06E6.2,chrV,+,15395671,15397324,35,9,-3.55,0.00068,Antisense,T06E6.2,WBGene00000868,Sequence name for WBGene00000868(cyb-3). History: N.A.
T06G6.9,chrI,+,12728160,12729859,22,4,-4.64,0.0018,Antisense,T06G6.9,WBGene00006889,Sequence name for WBGene00006889(pfd-3). History: Renamed on 2006-08-02
T07C4.10,chrIII,+,10320949,10325546,52,26,-1.95,0.007,Antisense,T07C4.10,WBGene00011562,"Sequence name for WBGene00011562(sas-7). History: Split into ""WBGene00044098"" on 2005-02-03"
T07D4.4,chrII,+,8884829,8889590,27,9,-2.81,0.0075,Antisense,T07D4.4,WBGene00011580,Sequence name for WBGene00011580(ddx-19). History: N.A.
T07E3.3,chrIII,+,6903831,6904971,12,1,-6.66,0.0067,Antisense,T07E3.3,WBGene00020314,Public name for WBGene00020314. History: N.A.
T08B2.5,chrI,+,6215792,6219913,27,3,-7.03,8.8e-05,Antisense,T08B2.5,WBGene00020346,Sequence name for WBGene00020346(rbm-5). History: N.A.
T08B2.9,chrI,-,6211987,6214588,25,4,-5.13,0.0019,Antisense,T08B2.9,WBGene00001497,Sequence name for WBGene00001497(fars-1). History: Renamed on 2010-01-29; Renamed on 2015-03-04
T09A5.10,chrII,+,7860589,7863356,64,31,-2.03,0.002,Antisense,T09A5.10,WBGene00002994,Sequence name for WBGene00002994(lin-5). History: N.A.
T09F3.5,chrII,+,10396798,10399241,15,3,-3.95,0.015,Antisense,T09F3.5,WBGene00011664,Public name for WBGene00011664. History: N.A.
T10B11.3,chrI,+,6926283,6929662,15,5,-2.63,0.049,Antisense,T10B11.3,WBGene00020399,Sequence name for WBGene00020399(ztf-4). History: N.A.
T10B5.5,chrV,+,1872243,1874600,15,5,-2.63,0.049,Antisense,T10B5.5,WBGene00020391,Sequence name for WBGene00020391(cct-7). History: N.A.
T10B5.6,chrV,+,1869213,1870556,106,47,-2.23,2.2e-05,Antisense,T10B5.6,WBGene00020392,Sequence name for WBGene00020392(knl-3). History: N.A.
T10C6.5,chrV,+,16023323,16024158,15,4,-3.16,0.029,Antisense,T10C6.5,WBGene00011687,Sequence name for WBGene00011687(cwc-15). History: N.A.
T12D8.1,chrIII,+,13643797,13656517,79,57,-1.38,0.041,Antisense,T12D8.1,WBGene00011729,Sequence name for WBGene00011729(set-16). History: Renamed on 2007-05-03
T12D8.7,chrIII,+,13624163,13625821,12,3,-3.33,0.038,Antisense,T12D8.7,WBGene00006391,Sequence name for WBGene00006391(taf-9). History: N.A.
T12E12.3,chrIV,+,5541619,5544720,180,110,-1.63,0.00011,Antisense,T12E12.3,WBGene00020464,Sequence name for WBGene00020464(tebp-2). History: Renamed on 2021-04-19
T12E12.4,chrIV,+,5538476,5541352,32,5,-5.51,8.4e-05,Antisense,T12E12.4,WBGene00001093,Sequence name for WBGene00001093(drp-1). History: N.A.
T12F5.1,chrI,+,3741469,3742649,17,5,-3.04,0.022,Antisense,T12F5.1,WBGene00020466,Sequence name for WBGene00020466(sld-2). History: N.A.
T12F5.3,chrI,+,3727062,3730939,47,14,-3.19,0.00021,Antisense,T12F5.3,WBGene00001601,Sequence name for WBGene00001601(glh-4). History: N.A.
T13F2.6,chrIV,+,9778261,9781177,15,4,-3.16,0.029,Antisense,T13F2.6,WBGene00011746,Public name for WBGene00011746. History: N.A.
T14B4.1,chrII,+,6736846,6741418,15,5,-2.63,0.049,Antisense,T14B4.1,WBGene00020498,Public name for WBGene00020498. History: N.A.
T14B4.2,chrII,+,6736143,6736661,10,1,-5.43,0.021,Antisense,T14B4.2,WBGene00020499,Sequence name for WBGene00020499(mrps-18.C). History: N.A.
T14G10.6,chrIV,-,10149138,10150554,47,93,-0.51,0.00081,Antisense,T14G10.6,WBGene00006638,Sequence name for WBGene00006638(tsp-12). History: N.A.
T16H12.1,chrIII,+,10083533,10085957,10,2,-3.62,0.049,Antisense,T16H12.1,WBGene00011811,"Public name for WBGene00011811. History: Split into T16H12.13(WBGene00194725). History of WBGene00011811: Split into ""WBGene00194725"" on 2009-08-17"
T19H12.2,chrV,+,4890414,4891408,148,55,-2.66,1e-08,Antisense,T19H12.2,WBGene00020588,Public name for WBGene00020588. History: N.A.
T20B12.3,chrIII,+,7382039,7383831,7,0,-8.4,0.02,Antisense,T20B12.3,WBGene00020601,Public name for WBGene00020601. History: N.A.
T21G5.3,chrI,+,6854686,6857528,126,69,-1.81,0.00019,Antisense,T21G5.3,WBGene00001598,Sequence name for WBGene00001598(glh-1). History: N.A.
T22F3.2,chrV,+,3586636,3589002,39,17,-2.25,0.0069,Antisense,T22F3.2,WBGene00020695,Public name for WBGene00020695. History: N.A.
T22F3.3,chrV,+,3579043,3585036,99,35,-2.77,1.3e-06,Antisense,T22F3.3,WBGene00020696,Sequence name for WBGene00020696(pygl-1). History: N.A.
T22H9.2,chrV,+,348789,358836,20,5,-3.45,0.0094,Antisense,T22H9.2,WBGene00020706,Sequence name for WBGene00020706(atg-9). History: Renamed on 2008-02-29
T23D8.3,chrI,-,9973369,9976304,12,2,-4.44,0.031,Antisense,T23D8.3,WBGene00011944,Public name for WBGene00011944. History: N.A.
T23G11.2,chrI,+,7699539,7700957,10,1,-5.43,0.021,Antisense,T23G11.2,WBGene00001647,Sequence name for WBGene00001647(gna-2). History: N.A.
T23G7.1,chrII,+,9169829,9172483,17,6,-2.61,0.037,Antisense,T23G7.1,WBGene00001061,Sequence name for WBGene00001061(dpl-1). History: N.A.
T24B1.1,chrI,+,7676662,7679056,7,0,-8.4,0.02,Antisense,T24B1.1,WBGene00011975,Sequence name for WBGene00011975(golg-5). History: N.A.
T24C4.1,chrIII,+,879846,881448,10,2,-3.62,0.049,Antisense,T24C4.1,WBGene00020757,Sequence name for WBGene00020757(ucr-2.3). History: N.A.
T24F1.2,chrII,+,11302807,11305585,32,16,-1.94,0.03,Antisense,T24F1.2,WBGene00011994,Sequence name for WBGene00011994(samp-1). History: N.A.
T25B9.9,chrIV,+,10769632,10777529,10,0,-10.86,0.0054,Antisense,T25B9.9,WBGene00012015,Public name for WBGene00012015. History: N.A.
T25E12.4,chrV,+,16747529,16788386,20,7,-2.59,0.028,Antisense,T25E12.4,WBGene00012019,Sequence name for WBGene00012019(dkf-2). History: N.A.
T26A5.2,chrIII,+,6467323,6471569,37,6,-5.43,2.9e-05,Antisense,T26A5.2,WBGene00020819,Public name for WBGene00020819. History: N.A.
T26A5.5,chrIII,+,6454424,6459952,67,26,-2.5,0.00019,Antisense,T26A5.5,WBGene00020821,Sequence name for WBGene00020821(jhdm-1). History: N.A.
T27C10.3,chrI,+,10889989,10892032,20,6,-2.96,0.017,Antisense,T27C10.3,WBGene00020858,Sequence name for WBGene00020858(mop-25.3). History: N.A.
T27C4.4,chrV,+,3704981,3712509,42,22,-1.87,0.019,Antisense,T27C4.4,WBGene00003025,"Sequence name for WBGene00003025(lin-40). History: Renamed on 2007-03-01. Public name for Dead gene WBGene00001219. History of WBGene00001219: Merged into ""WBGene00003025"" on 2007-03-01"
T27E9.5,chrIII,+,13471587,13475253,15,3,-3.95,0.015,Antisense,T27E9.5,WBGene00012095,Sequence name for WBGene00012095(pssy-2). History: N.A.
T27F6.4,chrI,+,12484169,12486450,84,49,-1.7,0.0042,Antisense,T27F6.4,WBGene00012104,Sequence name for WBGene00012104(sygl-1). History: N.A.
T28A8.5,chrIII,+,13501509,13503338,10,2,-3.62,0.049,Antisense,T28A8.5,WBGene00012111,"Public name for WBGene00012111. History: Split into T28A8.8(WBGene00194852). History of WBGene00012111: Split into ""WBGene00194852"" on 2009-11-04"
T28B11.1,chrV,-,10712136,10715223,30,13,-2.18,0.05,Antisense,T28B11.1,WBGene00012117,Public name for WBGene00012117. History: N.A.
T28D9.2,chrII,+,6490119,6491296,32,9,-3.3,0.0016,Antisense,T28D9.2,WBGene00004702,Sequence name for WBGene00004702(rsp-5). History: N.A.
W01A11.2,chrV,+,6497092,6498474,22,4,-4.64,0.0018,Antisense,W01A11.2,WBGene00020910,Sequence name for WBGene00020910(dgtr-1). History: N.A.
W01B6.5,chrIV,+,10076296,10078621,10,1,-5.43,0.021,Antisense,W01B6.5,WBGene00012172,Public name for WBGene00012172. History: N.A.
W01D2.5,chrII,+,14812468,14814778,12,3,-3.33,0.038,Antisense,W01D2.5,WBGene00012182,Sequence name for WBGene00012182(osta-3). History: N.A.
W01G7.5,chrII,+,14063357,14065761,30,8,-3.4,0.002,Antisense,W01G7.5,WBGene00002275,Sequence name for WBGene00002275(lem-2). History: N.A.
W02A2.7,chrIV,+,13353690,13356072,67,29,-2.25,0.00058,Antisense,W02A2.7,WBGene00003230,Sequence name for WBGene00003230(mex-5). History: N.A.
W02B12.2,chrII,-,11451400,11452871,35,16,-2.09,0.046,Antisense,W02B12.2,WBGene00004699,Sequence name for WBGene00004699(rsp-2). History: N.A.
W02B12.3,chrII,+,11453895,11455723,44,12,-3.49,0.00015,Antisense,W02B12.3,WBGene00004698,Sequence name for WBGene00004698(rsp-1). History: N.A.
W02G9.5,chrV,+,2658031,2660776,15,4,-3.16,0.029,Antisense,W02G9.5,WBGene00020955,Sequence name for WBGene00020955(angl-1). History: N.A.
W03C9.7,chrII,+,11968563,11971866,35,11,-2.96,0.0021,Antisense,W03C9.7,WBGene00003228,Sequence name for WBGene00003228(mex-1). History: N.A.
W03F9.10,chrV,+,128236,131739,15,4,-3.16,0.029,Antisense,W03F9.10,WBGene00021004,Sequence name for WBGene00021004(sftb-2). History: N.A.
W03F9.5,chrV,+,156830,163350,10,2,-3.62,0.049,Antisense,W03F9.5,WBGene00006648,Sequence name for WBGene00006648(ttb-1). History: N.A.
W03G1.6,chrIV,-,506749,519456,25,6,-3.66,0.0081,Antisense,W03G1.6,WBGene00021012,Sequence name for WBGene00021012(pig-1). History: N.A.
W03G9.4,chrI,-,4964894,4967071,12,2,-4.44,0.031,Antisense,W03G9.4,WBGene00000155,Sequence name for WBGene00000155(app-1). History: N.A.
W04A4.5,chrI,+,13663471,13674949,25,6,-3.66,0.0031,Antisense,W04A4.5,WBGene00012234,Sequence name for WBGene00012234(ints-4). History: N.A.
W05F2.5,chrI,+,3371769,3373833,74,20,-3.57,1e-06,Antisense,W05F2.5,WBGene00021037,Sequence name for WBGene00021037(fbxa-203). History: N.A.
W07G4.4,chrV,+,13043691,13046335,27,8,-3.12,0.0045,Antisense,W07G4.4,WBGene00002250,"Sequence name for WBGene00002250(lap-2). History: N.A.. Public name for Dead gene WBGene00012338. History of WBGene00012338: Merged into ""WBGene00002250"" on 2011-06-16"
W08G11.3,chrV,+,16367653,16372070,15,4,-3.16,0.029,Antisense,W08G11.3,WBGene00012347,Public name for WBGene00012347. History: N.A.
W09B6.2,chrII,+,1127981,1132353,12,3,-3.33,0.038,Antisense,W09B6.2,WBGene00006387,Sequence name for WBGene00006387(taf-6.1). History: N.A.
W09D10.1,chrIII,-,10737132,10739660,25,5,-4.28,0.0042,Antisense,W09D10.1,WBGene00012359,Public name for WBGene00012359. History: N.A.
W09G10.4,chrII,-,3532595,3546425,12,2,-4.44,0.031,Antisense,W09G10.4,WBGene00000162,Sequence name for WBGene00000162(apd-3). History: N.A.
Y104H12D.3,chrIV,+,1193075,1201846,32,7,-4.13,0.00043,Antisense,Y104H12D.3,WBGene00022427,Sequence name for WBGene00022427(spl-3). History: N.A.
Y105E8A.20,chrI,-,14486935,14494896,7,0,-8.4,0.028,Antisense,Y105E8A.20,WBGene00013678,Public name for WBGene00013678. History: N.A.
Y105E8A.28,chrI,-,14497481,14498278,116,29,-3.9,1.7e-08,Antisense,Y105E8A.28,WBGene00013685,Public name for WBGene00013685. History: N.A.
Y106G6H.15,chrI,-,10473504,10474425,0,9,10.0,0.038,Antisense,Y106G6H.15,WBGene00013725,Sequence name for WBGene00013725(ska-1). History: N.A.
Y108G3AL.7,chrV,+,185809,200687,20,4,-4.14,0.0048,Antisense,Y108G3AL.7,WBGene00044689,Sequence name for WBGene00044689(arid-1). History: N.A.
Y10G11A.1,chrIV,+,16424609,16429646,15,4,-3.16,0.029,Antisense,Y10G11A.1,WBGene00012423,Public name for WBGene00012423. History: N.A.
Y110A2AL.1,chrII,+,2875103,2876616,35,7,-4.44,0.00017,Antisense,Y110A2AL.1,WBGene00022438,Public name for WBGene00022438. History: N.A.
Y110A2AL.4,chrII,+,2839302,2840385,15,2,-5.26,0.0065,Antisense,Y110A2AL.4,WBGene00022441,Public name for WBGene00022441. History: N.A.
Y110A7A.5,chrI,+,5134769,5137960,12,3,-3.33,0.038,Antisense,Y110A7A.5,WBGene00003475,Sequence name for WBGene00003475(mtm-1). History: N.A.
Y111B2A.11,chrIII,-,12599183,12608347,42,9,-4.29,0.00025,Antisense,Y111B2A.11,WBGene00007030,Sequence name for WBGene00007030(epc-1). History: N.A.
Y111B2A.12,chrIII,+,12609168,12617941,12,2,-4.44,0.018,Antisense,Y111B2A.12,WBGene00013735,Public name for WBGene00013735. History: N.A.
Y111B2A.14,chrIII,+,12626454,12651111,35,14,-2.37,0.0081,Antisense,Y111B2A.14,WBGene00004161,Sequence name for WBGene00004161(pqn-80). History: N.A.
Y111B2A.22,chrIII,+,12714445,12743809,59,31,-1.88,0.0059,Antisense,Y111B2A.22,WBGene00007027,"Sequence name for WBGene00007027(ssl-1). History: N.A.. Public name for Dead gene WBGene00004162. History of WBGene00004162: Merged into ""WBGene00007027"" on 2004-05-18"
Y111B2A.3,chrIII,+,12496423,12498902,131,55,-2.35,9.1e-07,Antisense,Y111B2A.3,WBGene00013729,Public name for WBGene00013729. History: N.A.
Y116A8C.32,chrIV,-,17104171,17110938,20,4,-4.14,0.011,Antisense,Y116A8C.32,WBGene00013808,Sequence name for WBGene00013808(sfa-1). History: Renamed on 2006-09-01
Y116A8C.35,chrIV,-,17116718,17118716,7,0,-8.4,0.028,Antisense,Y116A8C.35,WBGene00006698,Sequence name for WBGene00006698(uaf-2). History: N.A.
Y116A8C.42,chrIV,+,17088015,17088527,10,2,-3.62,0.049,Antisense,Y116A8C.42,WBGene00004914,Sequence name for WBGene00004914(snr-1). History: N.A.
Y14H12B.2,chrII,-,3932170,3933733,69,41,-1.67,0.048,Antisense,Y14H12B.2,WBGene00021192,Public name for WBGene00021192. History: N.A.
Y17G9B.9,chrIV,-,4758970,4760419,35,12,-2.73,0.011,Antisense,Y17G9B.9,WBGene00003216,Sequence name for WBGene00003216(memi-1). History: Renamed on 2016-10-14
Y18D10A.13,chrI,+,12878583,12902770,37,11,-3.16,0.00096,Antisense,Y18D10A.13,WBGene00003905,Sequence name for WBGene00003905(pad-1). History: N.A.
Y18D10A.16,chrI,-,12903050,12904027,7,0,-8.4,0.028,Antisense,Y18D10A.16,WBGene00012483,Sequence name for WBGene00012483(coa-5). History: N.A.
Y18H1A.3,chrI,-,700291,715853,7,0,-8.4,0.028,Antisense,Y18H1A.3,WBGene00021209,Sequence name for WBGene00021209(hgap-1). History: N.A.
Y22D7AL.5,chrIII,+,1619738,1625790,96,25,-3.74,1.4e-08,Antisense,Y22D7AL.5,WBGene00002025,Sequence name for WBGene00002025(hsp-60). History: N.A.
Y23H5B.6,chrI,+,2489976,2497372,32,11,-2.75,0.0044,Antisense,Y23H5B.6,WBGene00021277,Sequence name for WBGene00021277(ddx-10). History: N.A.
Y32B12B.2,chrV,+,16538367,16549826,25,11,-2.14,0.035,Antisense,Y32B12B.2,WBGene00012522,Public name for WBGene00012522. History: N.A.
Y32F6A.3,chrV,+,10441952,10446441,10,2,-3.62,0.049,Antisense,Y32F6A.3,WBGene00012528,Sequence name for WBGene00012528(pap-1). History: N.A.
Y34D9A.3,chrI,+,1034473,1040870,17,3,-4.56,0.0057,Antisense,Y34D9A.3,WBGene00021329,Public name for WBGene00021329. History: N.A.
Y37A1B.1,chrIV,+,14071515,14076711,59,33,-1.77,0.01,Antisense,Y37A1B.1,WBGene00003085,Sequence name for WBGene00003085(ccar-1). History: Renamed on 2015-11-23
Y37E11B.3,chrIV,-,3581062,3582904,12,1,-6.66,0.012,Antisense,Y37E11B.3,WBGene00021376,Sequence name for WBGene00021376(blos-7). History: N.A.
Y37E3.9,chrI,+,2071353,2072551,15,5,-2.63,0.049,Antisense,Y37E3.9,WBGene00004014,Sequence name for WBGene00004014(phb-1). History: N.A.
Y38A8.3,chrII,-,4955631,4959861,32,12,-2.54,0.02,Antisense,Y38A8.3,WBGene00006737,Sequence name for WBGene00006737(ulp-2). History: N.A.
Y38C9A.1,chrV,+,107401,118162,44,28,-1.56,0.05,Antisense,Y38C9A.1,WBGene00018975,"Public name for Dead gene WBGene00021411. History of WBGene00021411: Merged into ""WBGene00018975"" on 2015-03-09; Merged into ""WBGene00018975"" on 2015-03-09"
Y39A1A.15,chrIII,+,10655651,10677044,25,5,-4.28,0.0015,Antisense,Y39A1A.15,WBGene00000566,Sequence name for WBGene00000566(cnt-2). History: N.A.
Y39A1B.3,chrIII,+,10763028,10777225,25,10,-2.33,0.024,Antisense,Y39A1B.3,WBGene00001087,Sequence name for WBGene00001087(dpy-28). History: N.A.
Y39A3CL.7,chrIII,+,1824907,1876744,27,12,-2.16,0.027,Antisense,Y39A3CL.7,WBGene00021443,Public name for WBGene00021443. History: N.A.
Y39B6A.2,chrV,+,19190510,19198887,15,2,-5.26,0.0065,Antisense,Y39B6A.2,WBGene00012665,Sequence name for WBGene00012665(pph-5). History: N.A.
Y39B6A.33,chrV,+,19001919,19006675,32,11,-2.75,0.0044,Antisense,Y39B6A.33,WBGene00012692,Public name for WBGene00012692. History: N.A.
Y39B6A.35,chrV,+,18998309,19000864,15,2,-5.26,0.0065,Antisense,Y39B6A.35,WBGene00006567,Sequence name for WBGene00006567(tgt-2). History: N.A.
Y39E4B.1,chrIII,+,13153696,13160137,17,5,-3.04,0.022,Antisense,Y39E4B.1,WBGene00012714,Sequence name for WBGene00012714(abce-1). History: N.A.
Y39G10AR.18,chrI,-,2382965,2401489,20,5,-3.45,0.02,Antisense,Y39G10AR.18,WBGene00021474,Sequence name for WBGene00021474(dot-1.1). History: N.A.
Y39G10AR.21,chrI,+,2308977,2312046,22,7,-2.9,0.013,Antisense,Y39G10AR.21,WBGene00021476,Sequence name for WBGene00021476(nsun-4). History: N.A.
Y39G10AR.7,chrI,+,2316307,2318286,264,122,-2.15,1.6e-10,Antisense,Y39G10AR.7,WBGene00021465,Sequence name for WBGene00021465(ekl-7). History: N.A.
Y39G8C.1,chrII,+,14068899,14083442,22,9,-2.32,0.032,Antisense,Y39G8C.1,WBGene00012730,Sequence name for WBGene00012730(xrn-1). History: N.A.
Y40B10A.8,chrV,-,2061132,2066844,35,12,-2.73,0.011,Antisense,Y40B10A.8,WBGene00003676,Sequence name for WBGene00003676(nhr-86). History: N.A.
Y40B1A.3,chrI,+,13354057,13358395,17,6,-2.61,0.037,Antisense,Y40B1A.3,WBGene00012734,Sequence name for WBGene00012734(wac-1.1). History: N.A.
Y41D4B.4,chrIV,+,1660109,1669681,27,4,-5.62,0.00025,Antisense,Y41D4B.4,WBGene00021512,Public name for WBGene00021512. History: N.A.
Y43F11A.5,chrII,-,12114905,12130883,39,18,-2.13,0.031,Antisense,Y43F11A.5,WBGene00012845,Sequence name for WBGene00012845(set-24). History: N.A.
Y45F10A.2,chrIV,-,13510485,13512113,27,9,-2.81,0.019,Antisense,Y45F10A.2,WBGene00004239,Sequence name for WBGene00004239(puf-3). History: N.A.
Y45G12B.1,chrV,+,2698970,2707023,12,1,-6.66,0.0067,Antisense,Y45G12B.1,WBGene00021562,Sequence name for WBGene00021562(nuo-5). History: Renamed on 2008-02-26
Y45G5AL.1,chrV,+,4144490,4147544,22,8,-2.58,0.021,Antisense,Y45G5AL.1,WBGene00021554,Public name for WBGene00021554. History: N.A.
Y45G5AM.2,chrV,+,4175872,4181646,74,29,-2.5,8.7e-05,Antisense,Y45G5AM.2,WBGene00021555,Sequence name for WBGene00021555(pid-5). History: N.A.
Y46E12BL.2,chrII,+,15233054,15244833,37,20,-1.81,0.032,Antisense,Y46E12BL.2,WBGene00021595,Public name for WBGene00021595. History: N.A.
Y46G5A.2,chrII,+,12679862,12686622,20,5,-3.45,0.0094,Antisense,Y46G5A.2,WBGene00012895,Sequence name for WBGene00012895(cox-10). History: N.A.
Y46G5A.4,chrII,-,12726866,12736783,133,75,-1.76,0.0041,Antisense,Y46G5A.4,WBGene00012896,Sequence name for WBGene00012896(snrp-200). History: Renamed on 2005-03-17
Y46G5A.5,chrII,-,12736956,12738240,123,60,-2.04,0.00067,Antisense,Y46G5A.5,WBGene00012897,Sequence name for WBGene00012897(pisy-1). History: N.A.
Y47D3A.29,chrIII,+,11142329,11154033,44,9,-4.54,2e-05,Antisense,Y47D3A.29,WBGene00012936,Sequence name for WBGene00012936(pola-1). History: N.A.
Y47G6A.11,chrI,+,3449327,3462171,10,1,-5.43,0.021,Antisense,Y47G6A.11,WBGene00003422,Sequence name for WBGene00003422(msh-6). History: N.A.
Y47G6A.29,chrI,-,3578693,3600679,10,0,-10.86,0.0086,Antisense,Y47G6A.29,WBGene00003060,"Public name for Dead gene WBGene00021652. History of WBGene00021652: Merged into ""WBGene00003060"" on 2014-09-03"
Y48B6A.1,chrII,-,14151086,14154276,22,6,-3.31,0.017,Antisense,Y48B6A.1,WBGene00012978,Public name for WBGene00012978. History: N.A.
Y48B6A.3,chrII,+,14155670,14165921,94,28,-3.26,1.8e-07,Antisense,Y48B6A.3,WBGene00006964,Sequence name for WBGene00006964(xrn-2). History: N.A.
Y48E1A.1,chrII,-,13670566,13694689,30,12,-2.35,0.035,Antisense,Y48E1A.1,WBGene00012999,Sequence name for WBGene00012999(rpoa-1). History: N.A.
Y48G1A.4,chrI,+,323860,330986,25,7,-3.21,0.0058,Antisense,Y48G1A.4,WBGene00021660,Sequence name for WBGene00021660(nol-14). History: N.A.
Y48G8AL.5,chrI,+,1193159,1207867,25,8,-2.85,0.0098,Antisense,Y48G8AL.5,WBGene00021686,Sequence name for WBGene00021686(nsun-2). History: N.A.
Y48G8AL.6,chrI,+,1176474,1189653,20,6,-2.96,0.017,Antisense,Y48G8AL.6,WBGene00004880,Sequence name for WBGene00004880(smg-2). History: N.A.
Y48G9A.4,chrIII,+,2134462,2151527,59,27,-2.15,0.0018,Antisense,Y48G9A.4,WBGene00021698,Sequence name for WBGene00021698(frl-1). History: N.A.
Y48G9A.8,chrIII,+,2102282,2107458,22,5,-3.86,0.0039,Antisense,Y48G9A.8,WBGene00004088,Sequence name for WBGene00004088(ppk-2). History: N.A.
Y51A2B.5,chrV,+,18389244,18391242,7,0,-8.4,0.02,Antisense,Y51A2B.5,WBGene00013069,Public name for WBGene00013069. History: N.A.
Y51A2D.7,chrV,+,18533918,18549008,22,10,-2.11,0.046,Antisense,Y51A2D.7,WBGene00013075,Sequence name for WBGene00013075(ints-5). History: N.A.
Y51H1A.7,chrII,+,13895761,13898286,15,4,-3.16,0.029,Antisense,Y51H1A.7,WBGene00013096,"Public name for Dead gene WBGene00013097. History of WBGene00013097: Merged into ""WBGene00013096"" on 2008-11-27"
Y51H7C.11,chrII,-,1425763,1437505,20,5,-3.45,0.02,Antisense,Y51H7C.11,WBGene00021789,Sequence name for WBGene00021789(nol-6). History: Renamed on 2010-02-05
Y52B11A.10,chrI,+,11039048,11052465,12,2,-4.44,0.018,Antisense,Y52B11A.10,WBGene00013129,Public name for WBGene00013129. History: N.A.
Y53G8AR.5,chrIII,+,3297446,3301949,10,0,-10.86,0.0054,Antisense,Y53G8AR.5,WBGene00021812,Public name for WBGene00021812. History: N.A.
